timestamp,P2
00:02.5,34.43
05:03.9,30.53
10:04.4,22.8
15:04.2,13.3
20:04.9,16.57
25:04.7,14.07
30:05.4,16.33
35:04.3,16.5
40:04.2,12.43
45:04.0,11.07
50:03.9,10.87
55:04.3,11.6
00:03.5,16.63
05:03.5,17.77
10:04.2,17.43
15:04.8,20.8
20:04.8,17.03
25:05.6,15.47
30:06.5,15.57
35:06.5,13.97
40:06.4,12.9
45:07.5,13.33
50:07.7,13.43
55:08.6,15.27
00:08.7,12.43
05:10.6,10.43
10:11.2,11.97
15:10.9,12.5
20:12.3,12.67
25:12.5,11.77
30:12.4,10.37
35:12.8,9.9
40:12.9,10.5
45:13.7,11.3
50:13.8,11.87
55:13.8,11.33
00:13.7,10.57
05:13.8,11.8
10:13.7,11.3
15:14.7,11.57
20:15.1,10.73
25:16.4,11.93
30:17.2,11.4
35:16.5,11.97
40:17.7,11.67
45:18.3,11.7
50:18.9,11.73
55:19.1,13
00:21.7,12.3
05:22.1,11.87
10:22.8,12.33
15:23.8,12.3
20:23.5,11.57
25:23.1,12.37
30:22.9,13
35:23.6,37.87
40:23.9,21.3
45:24.8,13.2
50:25.1,17.87
55:25.0,36
00:25.0,18.03
05:25.0,15.97
10:25.8,27.77
15:25.3,17
20:25.9,26.1
25:26.6,22
30:28.2,20.33
35:28.5,19.23
40:29.5,15.37
48:26.4,13.93
53:26.1,29.5
58:27.4,26.97
03:27.6,16.37
08:26.9,13.77
13:28.5,19.1
18:29.1,21.27
23:30.1,27.8
28:29.3,26.13
33:28.8,25.1
38:28.3,24.8
43:27.4,26.57
48:27.2,20.63
53:26.6,27.1
58:26.6,22.43
03:26.6,28.37
08:27.1,16.03
13:26.2,22.57
18:25.5,23.57
23:24.6,17.03
28:25.3,24.57
33:25.9,15.1
38:26.3,17.67
43:25.5,15.47
48:24.3,15.1
53:23.6,13.32
58:23.1,14.47
03:23.0,15.45
08:22.2,14.1
13:22.0,13.13
18:22.8,14.3
23:23.7,11.45
28:23.7,12.5
33:24.7,12.37
38:24.6,12
43:24.5,15.43
48:24.2,15.27
53:24.0,13
58:24.5,19.27
03:25.3,13.5
08:25.3,17.77
13:25.1,12.23
18:25.5,15.1
23:25.1,12.13
28:26.0,11
33:26.5,11
38:27.3,12.43
43:27.1,11.9
48:28.4,12.07
53:27.8,11.82
58:27.9,16.85
